hs_year,player_key,full_name,hs_position,hs_height_in,hs_weight,hs_stars,hs_rating,hs_national_rank,hs_position_rank,scouting_report,scouting_report_evaluator_name,bv_role,has_scouting_report_text,has_scouting_report_evaluator,_embedding_cache_key
2010,59339,Chanse Creekmur,SF,79,205,3.0,87.62962962962962,230.0,52.0,,__missing__,Wing G,False,False,59339_2010
2010,59341,Corey Hawkins,SG,74,195,3.0,88.51851851851852,182.0,45.0,,__missing__,Combo G,False,False,59341_2010
2010,59342,Keala King,PG,77,200,4.0,96.5708379275692,60.0,15.0,,__missing__,Wing G,False,False,59342_2010
2010,59344,Kyle Cain,PF,79,215,3.0,81.11111111111111,421.0,107.0,,__missing__,PF/C,False,False,59344_2010
2010,59347,Thurgood Wynn,SG,76,175,3.0,81.11111111111111,421.0,96.0,,__missing__,Combo G,False,False,59347_2010
2010,59349,Caleb Dean,C,81,230,2.0,76.66666666666667,483.0,45.0,,__missing__,PF/C,False,False,59349_2010
2010,59350,Lavonte Dority,PG,72,180,3.0,88.51851851851852,182.0,37.0,,__missing__,Scoring PG,False,False,59350_2010
2010,59355,Gerard Coleman,SG,76,170,5.0,97.50130822943815,43.0,10.0,,__missing__,Wing G,False,False,59355_2010
2010,59358,James Bell,SF,77,210,4.0,96.41261441156674,65.0,13.0,,__missing__,Wing G,False,False,59358_2010
2010,59360,Josh Egner,PF,79,210,3.0,82.0,401.0,101.0,,__missing__,PF/C,False,False,59360_2010
2010,59361,Faisal Aden,SG,76,185,3.0,84.44444444444443,318.0,75.0,,__missing__,Wing G,False,False,59361_2010
2010,59362,Patrick Simon,SF,79,185,3.0,88.29629629629629,198.0,45.0,,__missing__,Stretch 4,False,False,59362_2010
2010,59363,Dakotah Euton,PF,80,215,3.0,83.48148148148148,351.0,84.0,,__missing__,Wing F,False,False,59363_2010
2010,59364,Andre Winston,PG,72,160,3.0,81.25925925925925,415.0,78.0,,__missing__,Combo G,False,False,59364_2010
